Município;Assist_Soc;Psic;Psiqui;Acoes_prom;Acoes_comp;2017;2018;2019;2020;2021;Ar_Ter_km2;Pop_Est;PIB;IDH
412215 Rio Bonito do Iguaçu;2.0;2.0;0.0;462;0;147;69;0;0;0;8122880;326350;3462386;6.79
410260 Barracão;2.0;5.0;1.0;21323;15815;66;1838;17977;13170;15815;1481070;34040;2012501;6.81
410335 Braganey;1.0;2.0;0.0;8209;0;27;0;0;0;0;2910360;25210;7076486;6.81
410400 Campina Grande do Sul;9.0;12.0;4.0;61;0;327;295;0;0;0;4338320;36940;4244222;6.81
410610 Conselheiro Mairinck;2.0;2.0;0.0;75;0;13;1;0;0;0;2990370;190820;2184783;6.81
411480 Marialva;4.0;14.0;0.0;37511;0;0;0;0;0;0;2323630;70930;1934254;6.81
412080 Quatro Barras;2.0;5.0;2.0;1958;0;44;149;0;0;0;8215030;347070;3536099;6.81
412230 Rio Negro;5.0;21.0;1.0;140535;0;241;227;0;0;0;7421210;94470;4291527;6.81
412770 Toledo;33.0;87.0;5.0;12173;0;936;647;0;0;0;5041710;120360;2645658;6.81
410775 Figueira;3.0;2.0;0.0;749;0;0;0;0;0;0;2389070;45830;2683398;6.82
411240 Japurá;2.0;2.0;0.0;43852;0;0;17;0;0;0;1285150;13090;3137672;6.82
412440 Santo Antônio do Sudoeste;3.0;9.0;0.0;0;0;25103;26289;23652;3976;0;2250790;69610;4503398;6.82
410950 Guaraqueçaba;1.0;2.0;0.0;722;0;47;44;0;0;0;5022350;50300;404107;6.83
412560 São Mateus do Sul;4.0;8.0;0.0;2293;0;291;304;0;0;0;3083240;57450;2792801;6.83
410965 Honório Serpa;1.0;2.0;0.0;3607;0;20;7;0;0;0;1454460;63870;2614872;6.85
412015 Porto Barreiro;0.0;1.0;0.0;1541;0;28;26;0;0;0;2130130;40570;1576967;6.85
410315 Bom Jesus do Sul;1.0;2.0;0.0;28420;0;3;0;0;0;0;3227550;71030;1642465;6.86
410405 Campo Bonito;3.0;2.0;1.0;0;0;16;0;0;0;0;3044880;81180;2583683;6.86
411605 Missal;2.0;2.0;0.0;59022;0;83;74;0;0;0;68458;164850;2042198;6.86
410010 Abatiá;2.0;3.0;0.0;12913;0;0;0;0;0;0;2287170;73600;2152976;6.87
410115 Ângulo;1.0;2.0;0.0;2327;0;0;0;0;0;0;8823170;189190;2831272;6.87
410754 Espigão Alto do Iguaçu;0.0;1.0;0.0;782;0;41;51;0;0;0;7159430;173790;2475272;6.87
411250 Jardim Alegre;2.0;4.0;0.0;0;0;0;0;0;0;0;1591780;126870;1523412;6.87
412180 Ribeirão Claro;1.0;6.0;0.0;9407;0;0;0;0;0;0;5990560;154330;4016519;6.87
412370 Santa Isabel do Ivaí;0.0;2.0;0.0;18677;0;20;27;0;0;0;1168580;37950;2814709;6.87
412390 Santa Mariana;3.0;2.0;0.0;15463;0;90;61;0;0;0;2512690;49160;1913773;6.87
412830 Uniflor;0.0;0.0;0.0;1676;0;0;0;0;0;0;3979160;193580;2865264;6.87
411275 Jesuítas;0.0;1.0;0.0;0;0;0;0;0;0;0;3208160;32480;2247619;6.88
411430 Mandirituba;4.0;7.0;0.0;20981;0;0;0;0;0;0;1055458;165720;8018085;6.88
411690 Nova Esperança;3.0;12.0;0.0;2198;0;217;128;0;0;0;2834230;81200;3029871;6.88
412000 Porecatu;3.0;6.0;0.0;1873;0;0;0;0;0;0;36102;31330;2999175;6.88
412085 Quatro Pontes;0.0;4.0;0.0;117;0;0;0;0;0;0;9147630;122570;1947722;6.88
